osm_id,osm_highway,osm_name,osm_access,osm_bicycle,osm_oneway,osm_oneway_bicycle,osm_maxspeed,osm_lanes,osm_lanes_forward,osm_lanes_backward,osm_cycleway,osm_cycleway_left,osm_cycleway_left_buffer,osm_cycleway_left_oneway,osm_cycleway_left_width,osm_cycleway_right,osm_cycleway_right_buffer,osm_cycleway_right_oneway,osm_cycleway_right_width,osm_cycleway_both,osm_cycleway_both_buffer,osm_cycleway_both_width,osm_cycleway_buffer,osm_cycleway_width,osm_parking_left,osm_parking_right,osm_parking_both,osm_parking_lane_left,osm_parking_lane_right,osm_parking_lane_both,osm_parking_left_restriction,osm_parking_right_restriction,osm_parking_both_restriction,osm_tracktype,osm_turn_lanes,osm_turn_lanes_forward,osm_turn_lanes_backward,osm_width,osm_footway,dc_blockkey,dc_ROUTEID,dc_ROUTENAME,dc_ROADTYPE,dc_STREETNAME,dc_STREETTYPE,dc_DCFUNCTIONALCLASS,dc_FHWAFUNCTIONALCLASS,dc_TOTALTRAVELLANES,dc_TOTALTRAVELLANESINBOUND,dc_TOTALTRAVELLANESOUTBOUND,dc_TOTALTRAVELLANESBIDIRECTIONAL,dc_TOTALTRAVELLANESREVERSIBLE,dc_TOTALTRAVELLANEWIDTH,dc_TOTALCROSSSECTIONWIDTH,dc_SUMMARYDIRECTION,dc_TOTALPARKINGLANES,dc_TOTALPARKINGLANEWIDTH,dc_TOTALRAISEDBUFFERS,dc_TOTALRAISEDBUFFERWIDTH,dc_BIKELANE_CONVENTIONAL,dc_BIKELANE_BUFFERED,dc_BIKELANE_PROTECTED,dc_BIKELANE_DUAL_PROTECTED,dc_BIKELANE_DUAL_BUFFERED,dc_BIKELANE_PARKINGLANE_ADJACENT,dc_BIKELANE_THROUGHLANE_ADJACENT,dc_BIKELANE_POCKETLANE_ADJACENT,dc_BIKELANE_CONTRAFLOW,dc_TOTALBIKELANES,dc_TOTALBIKELANEWIDTH,dc_SPEEDLIMITS_OB,dc_SPEEDLIMITS_IB,dc_SPEEDLIMITS_OB_ALT,dc_SPEEDLIMITS_IB_ALT,dc_DOUBLEYELLOW_LINE,dc_SLOWSTREETINFO,dc_SPEEDHUMP_PRESENT,dc_SURFACE_TYPE,dc_PCI_CONDCATEGORY,dc_PCI_SCORE,dc_PCI_LASTINSPECTED,dc_SIDEWALK_IB_PAVTYPE,dc_SIDEWALK_IB_WIDTH,dc_SIDEWALK_OB_PAVTYPE,dc_SIDEWALK_OB_WIDTH,dc_LEFTTURN_CURBLANE_EXCL,dc_LEFTTURN_CURBLANE_EXCL_LEN,dc_RIGHTTURN_CURBLANE_EXCL,dc_RIGHTTURN_CURBLANE_EXCL_LEN,dc_LEFTTURN_EXCLUSIVE,dc_RIGHTTURN_EXCLUSIVE,dc_BUSLANE_INBOUND,dc_BUSLANE_OUTBOUND,dc_AADT,dc_AADT_YEAR,match_confidence,geometry_wkt
1527944890,primary,16th Street Northwest,,,,,30 mph,7,3,4,,share_busway,,,,,,,,,,,,,,,,,,,,,,,,left|none|none,none|through|through|none,,,d643697e66e1b530018cb02f4f610d22,11001602,16TH ST NW,1.0,16TH,ST,14.0,3.0,6.0,4.0,2.0,0.0,0.0,60.0,71.0,BD,1.0,10.0,0.0,0.0,,,,,,,,,,0.0,0.0,30.0,,,,Yes,,,7.0,Excellent,96.0,2023-06-05 04:00:00+00:00,3 (JPCP),14,3 (JPCP),8,,0.0,,0.0,,,,,23714.0,2020.0,1.0,"LINESTRING (-77.036475 38.926751, -77.036475 38.926969)"
5974756,trunk,Georgia Avenue Northwest,,,no,,30 mph,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3dec5a667cefe4a5e454b13bd06bfff6,11040042,GEORGIA AVE NW,1.0,GEORGIA,AVE,14.0,3.0,4.0,2.0,2.0,0.0,0.0,40.0,57.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,30.0,,,,Yes,,,7.0,Fair,62.0,2023-06-07 04:00:00+00:00,3 (JPCP),10,3 (JPCP),12,,0.0,,0.0,,,,,13028.0,2020.0,1.0,"LINESTRING (-77.022118 38.921327, -77.022155 38.921629, -77.02217 38.921732)"
5974756,trunk,Georgia Avenue Northwest,,,no,,30 mph,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3dec5a667cefe4a5e454b13bd06bfff6,11040042,GEORGIA AVE NW,1.0,GEORGIA,AVE,14.0,3.0,4.0,2.0,2.0,0.0,0.0,40.0,57.0,BD,2.0,16.0,0.0,0.0,,,,,,,,,,0.0,0.0,30.0,,,,Yes,,,7.0,Fair,62.0,2023-06-07 04:00:00+00:00,3 (JPCP),10,3 (JPCP),12,,0.0,,0.0,,,,,13028.0,2020.0,1.0,"LINESTRING (-77.02217 38.921732, -77.022251 38.922285)"
1499664059,cycleway,,,designated,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e1ce88b564e7994cc719e5965a6680f,11024632,COLUMBIA RD NW,1.0,COLUMBIA,RD,16.0,4.0,2.0,1.0,1.0,0.0,0.0,22.0,48.0,BD,1.0,9.0,2.0,6.0,,,BD,,,,,,,2.0,10.0,25.0,,,,Yes,,,7.0,Poor,39.0,2023-01-10 05:00:00+00:00,3 (JPCP),10,3 (JPCP),16+,,0.0,,0.0,,,,,16481.0,2020.0,1.0,"LINESTRING (-77.043287 38.922291, -77.043299 38.922264)"
1499664059,cycleway,,,designated,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e1ce88b564e7994cc719e5965a6680f,11024632,COLUMBIA RD NW,1.0,COLUMBIA,RD,16.0,4.0,2.0,1.0,1.0,0.0,0.0,22.0,48.0,BD,1.0,9.0,2.0,6.0,,,BD,,,,,,,2.0,10.0,25.0,,,,Yes,,,7.0,Poor,39.0,2023-01-10 05:00:00+00:00,3 (JPCP),10,3 (JPCP),16+,,0.0,,0.0,,,,,16481.0,2020.0,1.0,"LINESTRING (-77.043299 38.922264, -77.043478 38.921846, -77.043744 38.921222)"
1499788379,tertiary,1st Street Northwest,,,,,25 mph,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602c494b95d801a64e07369d38106b4,11000102,1ST ST NW,1.0,1ST,ST,17.0,5.0,3.0,1.0,2.0,0.0,0.0,33.0,34.0,BD,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,25.0,,,,Yes,,,7.0,Poor,40.0,2023-01-24 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,4949.0,2020.0,1.0,"LINESTRING (-77.012143 38.926129, -77.012143 38.92617)"
1499788379,tertiary,1st Street Northwest,,,,,25 mph,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602c494b95d801a64e07369d38106b4,11000102,1ST ST NW,1.0,1ST,ST,17.0,5.0,3.0,1.0,2.0,0.0,0.0,33.0,34.0,BD,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,25.0,,,,Yes,,,7.0,Poor,40.0,2023-01-24 05:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,4949.0,2020.0,1.0,"LINESTRING (-77.012143 38.92617, -77.012142 38.92629)"
1501605944,tertiary,Vermont Avenue Northwest,,,yes,,25 mph,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96df0be288fca556da8c0c63d8a491b6,11089442,VERMONT AVE NW,1.0,VERMONT,AVE,17.0,5.0,2.0,1.0,1.0,0.0,0.0,28.0,67.0,BD,4.0,32.0,1.0,7.0,,,,,,,,,,0.0,0.0,20.0,,,,,,,7.0,Excellent,98.0,2023-05-21 04:00:00+00:00,3 (JPCP),6,3 (JPCP),6,,0.0,,0.0,,,,,2062.0,2020.0,1.0,"LINESTRING (-77.027622 38.913193, -77.027911 38.912702)"
1499382302,cycleway,,,designated,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46ee2fbd57bfcf8c3513fced0a55366a,11024632,COLUMBIA RD NW,1.0,COLUMBIA,RD,16.0,4.0,3.0,2.0,1.0,0.0,0.0,29.0,52.0,BD,0.0,0.0,2.0,12.0,,,BD,,,,,,,2.0,10.0,25.0,,,,Yes,,,7.0,Excellent,86.0,2023-01-10 05:00:00+00:00,3 (JPCP),16+,3 (JPCP),16+,,0.0,,0.0,,,,,16481.0,2020.0,1.0,"LINESTRING (-77.042833 38.922671, -77.043091 38.922497, -77.043198 38.922414, -77.043228 38.922379)"
1499645201,cycleway,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588decd95e00de9e9aab497c69e996c1,11000902,9TH ST NW,1.0,9TH,ST,16.0,4.0,4.0,3.0,1.0,0.0,0.0,40.0,65.0,BD,1.0,7.0,2.0,6.0,,,,IB,,,,,,2.0,8.0,25.0,,,,,,,7.0,Excellent,97.0,2023-02-03 05:00:00+00:00,3 (JPCP),10,3 (JPCP),10,,0.0,,0.0,,,,,12395.0,2020.0,1.0,"LINESTRING (-77.023882 38.911786, -77.023882 38.911806)"
